,Code,Name,City,Country,Altitude,Latitude,Longitude
3811,,TONOPAH TEST RANGE,TONOPAH,USA,1692,37.794,-116.779
3812,TPA,TAMPA INTERNATIONAL,TAMPA,USA,8,27.975,-82.533
3813,TTN,TRENTON MERCER,TRENTON,USA,65,40.277,-74.813
3814,TUL,TULSA INTERNATIONAL,TULSA,USA,207,36.198,-95.888
3815,TUS,TUCSON INTERNATIONAL,TUCSON,USA,806,32.116,-110.941
3816,TXK,TEXARKANA RGNL WEBB FLD,TEXARKANA,USA,119,33.454,-93.991
3817,TYR,TYLER POUNDS RGNL,TYLER,USA,166,32.354,-95.402
3818,TYS,MC GHEE TYSON,KNOXVILLE,USA,300,35.812,-83.993
3819,UGN,WAUKEGAN RGNL,CHICAGO,USA,222,42.422,-87.868
3820,VAD,MOODY AFB,VALDOSTA,USA,72,30.968,-83.193
3821,VBG,VANDENBERG AFB,LOMPOC,USA,112,34.729,-120.577
3822,VCV,SOUTHERN CALIFORNIA LOGISTICS,VICTORVILLE,USA,880,34.593,-117.379
3823,VPS,EGLIN AFB,VALPARAISO,USA,27,30.483,-86.525
3824,VRB,VERO BEACH MUNI,VERO BEACH,USA,8,27.656,-80.418
3825,WAL,WALLOPS FLIGHT FACILITY,WALLOPS ISLAND,USA,13,37.94,-75.466
3826,WRB,ROBINS AFB,MACON,USA,90,32.64,-83.592
3827,WRI,MC GUIRE AFB,WRIGHTSTOWN,USA,41,40.016,-74.594
3828,WSD,CONDRON AAF,WHITE SANDS,USA,1200,32.341,-106.403
3829,WWD,CAPE MAY CO,WILDWOOD,USA,8,39.008,-74.908
3830,YIP,WILLOW RUN,DETROIT,USA,219,42.238,-83.53
3831,YNG,YOUNGSTOWN WARREN RGNL,YOUNGSTOWN,USA,365,41.261,-80.679
3832,YUM,YUMA MCAS YUMA INTERNATIONAL,YUMA,USA,65,32.656,-114.606
3833,ZUN,BLACK ROCK,ZUNI PUEBLO,USA,1968,35.083,-108.792
6565,PAQ,PALMER MUNI,PALMER,USA,76,61.595,-149.089
6566,BTI,BARTER ISLAND LRRS,BARTER ISLAND,USA,2,70.134,-143.577
6567,BET,BETHEL,BETHEL,USA,38,60.78,-161.838
6568,,,BETHEL,USA,0,0,0
6569,BIG,ALLEN AAF,DELTA JUNCTION,USA,390,63.994,-145.721
6570,,,FAIRBANKSA,USA,0,0,0
6571,,BIG MOUNTAIN AFS,BIG MOUNTAIN,USA,203,59.362,-155.257
6572,BRW,WILEY POST WILL ROGERS MEM,BARROW,USA,14,71.285,-156.766
6573,BTT,BETTLES,BETTLES,USA,196,66.915,-151.528
6574,CDB,COLD BAY,COLD BAY,USA,30,55.206,-162.724
6575,,CLEAR,CLEAR MEWS,USA,169,64.301,-149.12
6576,,,CAPE SARICHEF,USA,0,0,0
6577,CDV,MERLE K MUDHOLE SMITH,CORDOVA,USA,13,60.492,-145.477
6578,,CAPE ROMANZOF LRRS,CAPE ROMANZOF,USA,140,61.78,-166.039
6579,,,DRIFTWOOD BAY AFS,USA,0,0,0
6580,ADK,ADAK,ADAK ISLAND,USA,7,51.878,-176.646
6581,DLG,DILLINGHAM,DILLINGHAM,USA,27,59.045,-158.503
6582,ADQ,KODIAK,KODIAK,USA,23,57.75,-152.494
6583,DUT,UNALASKA,UNALASKA,USA,7,53.9,-166.543
6584,EDF,ELMENDORF AFB,ANCHORAGE,USA,65,61.251,-149.806
6585,EHM,CAPE NEWENHAM LRRS,CAPE NEWENHAM,USA,165,58.647,-162.061
6586,EIL,EIELSON AFB,FAIRBANKS,USA,168,64.666,-147.101
6587,ENA,KENAI MUNI,KENAI,USA,31,60.573,-151.245
6588,FAI,FAIRBANKS INTERNATIONAL,FAIRBANKS,USA,133,64.815,-147.856
6589,FBK,WAINWRIGHT AAF,FORT WAINWRIGHT,USA,139,64.837,-147.614
6590,,BRYANT AHP,FORT RICHARDSON,USA,116,61.266,-149.653
6591,,,FAREWELL,USA,0,0,0
6592,GAL,EDWARD G PITKA SR,GALENA,USA,47,64.736,-156.937
6593,GKN,GULKANA,GULKANA,USA,482,62.155,-145.456
6594,SGY,SKAGWAY,SKAGWAY,USA,14,59.46,-135.316
6595,,,ANCHORAGE,USA,0,0,0
6596,HOM,HOMER,HOMER,USA,26,59.646,-151.476
6597,ILI,ILIAMNA,ILIAMNA,USA,57,59.754,-154.911
6598,UTO,INDIAN MOUNTAIN LRRS,INDIAN MOUNTAINS,USA,372,65.993,-153.704
6599,JNU,JUNEAU INTERNATIONAL,JUNEAU,USA,6,58.355,-134.576
6600,,,SITKA,USA,0,0,0
6601,AKN,KING SALMON,KING SALMON,USA,18,58.677,-156.649
6602,KTN,KETCHIKAN INTERNATIONAL,KETCHIKAN,USA,30,55.356,-131.714
6603,LUR,CAPE LISBURNE LRRS,CAPE LISBURNE,USA,4,68.875,-166.11
6604,MCG,MC GRATH,MCGRATH,USA,103,62.953,-155.606
6605,,MIDDLETON ISLAND,MIDDLETON ISLAND,USA,27,59.45,-146.309
6606,,,NOME,USA,0,0,0
6607,MRI,MERRILL FLD,ANCHORAGE,USA,42,61.214,-149.846
6608,ANC,TED STEVENS ANCHORAGE INTERNATIONAL,ANCHORAGE,USA,47,61.174,-149.996
6609,ANN,ANNETTE ISLAND,ANNETTE ISLAND,USA,37,55.042,-131.572
6610,OME,NOME,NOME,USA,12,64.512,-165.445
6611,ORT,NORTHWAY,NORTHWAY,USA,524,62.961,-141.929
6612,OTZ,RALPH WIEN MEM,KOTZEBUE,USA,4,66.884,-162.598
6613,,ST GEORGE,POINT BARROW,USA,39,56.578,-169.661
6614,PML,PLATINUM,PORT MOLLER,USA,5,59.011,-161.819
6615,SCC,DEADHORSE,DEADHORSE,USA,19,70.195,-148.465
6616,SIT,SITKA ROCKY GUTIERREZ,SITKA,USA,8,57.047,-135.361
6617,SNP,ST PAUL ISLAND,ST. PAUL ISLAND,USA,20,57.167,-170.22
6618,SVW,SPARREVOHN LRRS,SPARREVOHN,USA,484,61.097,-155.574
6619,SYA,EARECKSON AS,SHEMYA,USA,30,52.712,174.114
6620,TAL,RALPH M CALHOUN,TANANA,USA,70,65.174,-152.109
6621,TNC,TIN CITY LRRS,TIN CITY,USA,83,65.563,-167.922
6622,TKA,TALKEETNA,TALKEETNA,USA,110,62.32,-150.094
6623,TLJ,TATALINA LRRS,TATALINA,USA,294,62.894,-155.976
6624,UNK,UNALAKLEET,UNALAKLEET,USA,7,63.888,-160.799
6625,VDZ,VALDEZ PIONEER FIELD,VALDEZ,USA,37,61.134,-146.248
6627,AIN,WAINWRIGHT AS,FORT WAINWRIGHT,USA,11,70.613,-159.86
6628,,,WILDWOOD,USA,0,0,0
6629,YAK,YAKUTAT,YAKUTAT,USA,12,59.503,-139.66
6631,,,BARTER ISLAND,USA,0,0,0
6633,FYU,FORT YUKON,FORT YUKON,USA,132,66.571,-145.25
6644,BKH,BARKING SANDS PMRF,BARKING SANDS,USA,5,22.022,-159.787
6645,HDH,DILLINGHAM,DILLINGHAM,USA,5,21.579,-158.21
6646,,,EWA BEACH,USA,0,0,0
6647,,,SOLAR FLARE FRCST FAC,USA,0,0,0
6648,,WHEELER AAF,WHEELER AFB.,USA,256,21.483,-158.039
6649,HNM,HANA,HANA,USA,24,20.796,-156.014
6650,,,HICKAM AFB,USA,0,0,0
6651,,,PEARL HARBOR,USA,0,0,0
6652,JHM,KAPALUA,LAHANIA-KAPALUA,USA,79,20.963,-156.674
6653,,,SOUTH KAUAI MET,USA,0,0,0
6654,,,KAMUELA MET,USA,0,0,0
6655,KOA,KONA INTERNATIONAL AT KEAHOLE,KONA,USA,15,19.739,-156.046
6656,,,KAANAPALI,USA,0,0,0
6657,,,KUNIA,USA,0,0,0
6658,LIH,LIHUE,LIHUE,USA,47,21.976,-159.339
6659,MKK,MOLOKAI,MOLOKAI,USA,139,21.153,-157.096
6660,,,MOLOKAI MET,USA,0,0,0
6661,MUE,WAIMEA KOHALA,KAMUELA,USA,815,20.001,-155.668
