,Code,Name,City,Country,Altitude,Latitude,Longitude
3524,FTW,FORT WORTH MEACHAM INTERNATIONAL,FORT WORTH,USA,217,32.82,-97.362
3525,,,FORT WORTH,USA,0,0,0
3526,FXE,FORT LAUDERDALE EXECUTIVE,FORT LAUDERDALE,USA,5,26.197,-80.171
3527,FYV,DRAKE FLD,FAYETTEVILLE,USA,382,36.005,-94.17
3528,GAG,GAGE,GAGE,USA,678,36.295,-99.776
3529,GCK,GARDEN CITY RGNL,GARDEN CITY,USA,881,37.927,-100.724
3530,GEG,SPOKANE INTERNATIONAL,SPOKANE,USA,723,47.62,-117.534
3531,,,GREAT FALLS,USA,0,0,0
3532,GFK,GRAND FORKS INTERNATIONAL,GRAND FORKS,USA,258,47.949,-97.176
3533,GGG,EAST TEXAS RGNL,LONGVIEW,USA,112,32.385,-94.711
3534,GLS,SCHOLES INTERNATIONAL AT GALVESTON,GALVESTON,USA,2,29.265,-94.86
3535,GNT,GRANTS MILAN MUNI,GRANTS,USA,1988,35.165,-107.901
3536,GNV,GAINESVILLE RGNL,GAINESVILLE,USA,47,29.69,-82.272
3537,GRB,AUSTIN STRAUBEL INTERNATIONAL,GREEN BAY,USA,212,44.485,-88.129
3538,GRF,GRAY AAF,FORT LEWIS,USA,93,47.079,-122.581
3539,GRK,ROBERT GRAY AAF,KILLEEN,USA,311,31.067,-97.829
3540,GRR,GERALD R FORD INTERNATIONAL,GRAND RAPIDS,USA,242,42.881,-85.523
3541,GSB,SEYMOUR JOHNSON AFB,GOLDSBORO,USA,34,35.339,-77.961
3542,GTB,WHEELER SACK AAF,FORT DRUM,USA,211,44.056,-75.719
3543,GTF,GREAT FALLS INTERNATIONAL,GREAT FALLS,USA,1121,47.482,-111.371
3544,GUS,GRISSOM ARB,PERU,USA,248,40.648,-86.152
3545,GVT,MAJORS,GREENVILE,USA,164,33.068,-96.065
3546,GVW,RICHARDS GEBAUR MEMORIAL,GRANDVIEW,USA,333,38.843,-94.561
3547,GWO,GREENWOOD LEFLORE,GREENWOOD,USA,50,33.494,-90.084
3548,HAR,,HARRISBURG,USA,0,0,0
3549,HBR,HOBART MUNI,HOBART,USA,477,34.991,-99.051
3550,HFD,HARTFORD BRAINARD,HARTFORD,USA,6,41.736,-72.65
3551,HHR,JACK NORTHROP FLD HAWTHORNE MUNI,HAWTHORNE,USA,21,33.923,-118.335
3552,HIB,CHISHOLM HIBBING,HIBBING,USA,413,47.386,-92.839
3553,HIF,HILL AFB,OGDEN,USA,1460,41.124,-111.973
3554,HKY,HICKORY RGNL,HICKORY,USA,363,35.741,-81.389
3555,HLN,HELENA RGNL,HELENA,USA,1182,46.607,-111.983
3556,HLR,HOOD AAF,FORT HOOD,USA,282,31.139,-97.714
3557,HMN,HOLLOMAN AFB,ALAMOGORDO,USA,1248,32.852,-106.106
3558,HOB,LEA CO RGNL,HOBBS,USA,1116,32.688,-103.217
3559,HON,HURON RGNL,HURON,USA,393,44.385,-98.228
3560,HOP,CAMPBELL AAF,HOPKINSVILLE,USA,175,36.668,-87.496
3561,HOU,WILLIAM P HOBBY,HOUSTON,USA,15,29.645,-95.279
3562,HPN,WESTCHESTER CO,WHITE PLAINS,USA,134,41.067,-73.707
3563,HRL,VALLEY INTERNATIONAL,HARLINGEN,USA,11,26.228,-97.654
3564,HRO,BOONE CO,HARRISON,USA,417,36.261,-93.155
3565,HRT,HURLBURT FLD,MARY ESTHER,USA,12,30.428,-86.689
3566,HST,HOMESTEAD ARB,HOMESTEAD,USA,3,25.488,-80.384
3567,,,CHARLESTON,USA,0,0,0
3568,HTL,ROSCOMMON CO,HOUGHTON LAKE,USA,351,44.36,-84.671
3569,HUA,REDSTONE AAF,REDSTONE,USA,209,34.679,-86.685
3570,HUF,TERRE HAUTE INTERNATIONAL HULMAN FLD,TERRE HAUTE,USA,180,39.451,-87.307
3571,HUL,HOULTON INTERNATIONAL,HOULTON,USA,150,46.123,-67.792
3572,HVR,HAVRE CITY CO,HAVRE,USA,790,48.543,-109.762
3573,HWO,NORTH PERRY,HOLLYWOOD,USA,3,26.001,-80.24
3574,IAB,MC CONNELL AFB,WICHITA,USA,418,37.623,-97.267
3575,IAD,WASHINGTON DULLES INTERNATIONAL,WASHINGTON,USA,96,38.944,-77.456
3576,IAG,NIAGARA FALLS INTERNATIONAL,NIAGARA FALLS,USA,180,43.107,-78.946
3577,IAH,GEORGE BUSH INTCNTL HOUSTON,HOUSTON,USA,30,29.98,-95.34
3578,ICT,WICHITA MID CONTINENT,WICHITA,USA,407,37.65,-97.433
3579,IKK,GREATER KANKAKEE,KANKAKEE,USA,193,41.071,-87.846
3580,ABQ,ALBUQUERQUE INTERNATIONAL SUNPORT,KIRTLAND A.F.B.,USA,1633,35.04,-106.609
3581,ILG,NEW CASTLE CO,WILMINGTON,USA,25,39.679,-75.606
3582,ILM,WILMINGTON INTERNATIONAL,WILMINGTON,USA,10,34.271,-77.903
3583,IND,INDIANAPOLIS INTERNATIONAL,INDIANAPOLIS,USA,243,39.717,-86.294
3584,,,SANTA ANA,USA,0,0,0
3585,INK,WINKLER CO,WINK,USA,860,31.779,-103.201
3586,INL,FALLS INTERNATIONAL,INTERNATIONAL FALLS,USA,362,48.566,-93.403
3587,INS,INDIAN SPRINGS AF AUX,INDIAN SPRINGS,USA,955,36.587,-115.673
3588,INT,SMITH REYNOLDS,WINSTON-SALEM,USA,296,36.134,-80.222
3589,IPL,IMPERIAL CO,IMPERIAL,USA,-17,32.834,-115.579
3590,IPT,WILLIAMSPORT RGNL,WILLIAMSPORT,USA,162,41.242,-76.921
3591,ISN,SLOULIN FLD INTERNATIONAL,WILLISTON,USA,605,48.178,-103.642
3592,ISP,LONG ISLAND MAC ARTHUR,ISLIP,USA,31,40.795,-73.1
3593,JAN,JACKSON INTERNATIONAL,JACKSON,USA,106,32.311,-90.076
3594,JAX,JACKSONVILLE INTERNATIONAL,JACKSONVILLE,USA,10,30.494,-81.688
3595,JBR,JONESBORO MUNI,JONESBORO,USA,80,35.832,-90.646
3596,JFK,JOHN F KENNEDY INTERNATIONAL,NEW YORK,USA,4,40.64,-73.779
3597,,,HEMPSTED,USA,0,0,0
3598,,,MERIDIAN,USA,0,0,0
3599,LAN,CAPITAL CITY,LANSING,USA,263,42.779,-84.587
3600,LAS,MC CARRAN INTERNATIONAL,LAS VEGAS,USA,665,36.08,-115.152
3601,LAX,LOS ANGELES INTERNATIONAL,LOS ANGELES,USA,39,33.942,-118.408
3602,LBB,LUBBOCK INTERNATIONAL,LUBBOCK,USA,1001,33.664,-101.823
3603,LCH,LAKE CHARLES RGNL,LAKE CHARLES,USA,5,30.126,-93.223
3604,LCK,RICKENBACKER INTERNATIONAL,COLUMBUS,USA,227,39.814,-82.928
3605,LFI,LANGLEY AFB,HAMPTON,USA,4,37.083,-76.36
3606,LFK,ANGELINA CO,LUFKIN,USA,91,31.234,-94.75
3607,LFT,LAFAYETTE RGNL,LAFAYETTE,USA,13,30.205,-91.987
3608,LGA,LA GUARDIA,NEW YORK,USA,7,40.777,-73.872
3609,LGB,LONG BEACH,LONG BEACH,USA,19,33.818,-118.151
3610,LHW,WRIGHT AAF,WRIGHT,USA,15,31.889,-81.562
3611,LIT,ADAMS FLD,LITTLE ROCK,USA,80,34.729,-92.224
3612,,,LIMESTONE,USA,0,0,0
3613,LNA,PALM BEACH CO PARK,WEST PALM BEACH,USA,5,26.593,-80.085
3614,LNK,LINCOLN MUNI,LINCOLN,USA,372,40.851,-96.759
3615,LOU,BOWMAN FLD,LOUISVILLE,USA,167,38.228,-85.664
3616,LRD,LAREDO INTERNATIONAL,LAREDO,USA,155,27.544,-99.461
3617,LRF,LITTLE ROCK AFB,JACKSONVILLE,USA,95,34.918,-92.146
3618,LSF,LAWSON AAF,FORT BENNING,USA,71,32.337,-84.991
3619,LSV,NELLIS AFB,LAS VEGAS,USA,570,36.236,-115.034
3620,LTS,ALTUS AFB,ALTUS,USA,422,34.667,-99.267
3621,LUF,LUKE AFB,PHOENIX,USA,331,33.535,-112.383
3622,LUK,CINCINNATI MUNI LUNKEN FLD,CINCINNATI,USA,148,39.103,-84.419
3623,MAF,MIDLAND INTERNATIONAL,MIDLAND,USA,876,31.942,-102.202
3624,MCC,MC CLELLAN AFLD,SACRAMENTO,USA,23,38.667,-121.401
3625,MCF,MACDILL AFB,TAMPA,USA,5,27.849,-82.521
3626,MCI,KANSAS CITY INTERNATIONAL,KANSAS CITY,USA,313,39.297,-94.714
3627,MCN,MIDDLE GEORGIA RGNL,MACON,USA,108,32.693,-83.649
3628,MCO,ORLANDO INTERNATIONAL,ORLANDO,USA,30,28.429,-81.316
3629,MDT,HARRISBURG INTERNATIONAL,HARRISBURG,USA,95,40.193,-76.763
3630,MDW,CHICAGO MIDWAY INTERNATIONAL,CHICAGO,USA,189,41.786,-87.752
3631,MEM,MEMPHIS INTERNATIONAL,MEMPHIS,USA,104,35.042,-89.977
3632,MER,CASTLE,MERCED,USA,58,37.38,-120.568
3633,MFE,MC ALLEN MILLER INTERNATIONAL,MCALLEN,USA,33,26.176,-98.239
3634,MGE,DOBBINS ARB,MARIETTA,USA,326,33.915,-84.516
3635,MHR,SACRAMENTO MATHER,SACRAMENTO,USA,30,38.554,-121.297
3636,MIA,MIAMI INTERNATIONAL,MIAMI,USA,3,25.793,-80.291
3637,MIB,MINOT AFB,MINOT,USA,509,48.416,-101.357
3638,MIV,MILLVILLE MUNI,MILLVILLE,USA,26,39.368,-75.072
3639,MKE,GENERAL MITCHELL INTERNATIONAL,MILWAUKEE,USA,221,42.947,-87.896
3640,MKL,MC KELLAR SIPES RGNL,JACKSON,USA,133,35.6,-88.916
3641,MKO,DAVIS FLD,MUSKOGEE,USA,186,35.657,-95.361
3642,MLB,MELBOURNE INTERNATIONAL,MELBOURNE,USA,11,28.103,-80.645
3643,MLC,MC ALESTER RGNL,MCALESTER,USA,235,34.882,-95.783
3644,MLT,MILLINOCKET MUNI,MILLINOCKET,USA,125,45.648,-68.686
3645,MLU,MONROE RGNL,MONROE,USA,25,32.511,-92.037
3646,MMV,MC MINNVILLE MUNI,MACKMINNVILLE,USA,50,45.194,-123.136
3647,MNM,MENOMINEE MARINETTE TWIN CO,MACON,USA,191,45.126,-87.638
3648,MOB,MOBILE RGNL,MOBILE,USA,67,30.691,-88.243
3649,MOD,MODESTO CITY CO HARRY SHAM,MODESTO,USA,30,37.626,-120.954
3650,MOT,MINOT INTERNATIONAL,MINOT,USA,519,48.259,-101.28
3651,MPV,EDWARD F KNAPP STATE,MONTPELIER,USA,356,44.203,-72.562
3652,MQT,SAWYER INTERNATIONAL,MARQUETTE,USA,433,46.534,-87.562
3653,MSN,DANE CO RGNL TRUAX FLD,MADISON,USA,271,43.14,-89.337
3654,MSP,MINNEAPOLIS ST PAUL INTERNATIONAL,MINNEAPOLIS,USA,257,44.88,-93.217
3655,MSS,MASSENA INTERNATIONAL RICHARDS FLD,MASSENA,USA,66,44.936,-74.845
3656,MSY,LOUIS ARMSTRONG NEW ORLEANS INTERNATIONAL,NEW ORLEANS,USA,2,29.993,-90.258
3657,MTC,SELFRIDGE ANGB,MOUNT CLEMENS,USA,177,42.613,-82.832
3658,MUI,MUIR AAF,MUIR,USA,150,40.435,-76.569
3659,MUO,MOUNTAIN HOME AFB,MOUNTAIN HOME,USA,914,43.043,-115.872
3660,MWH,GRANT CO INTERNATIONAL,GRANT COUNTY AIRPORT,USA,362,47.208,-119.32
3661,MWL,MINERAL WELLS,MINERAL WELLS,USA,297,32.781,-98.06
3662,MXF,MAXWELL AFB,MONTGOMERY,USA,53,32.379,-86.362
3663,MYR,MYRTLE BEACH INTERNATIONAL,MYRTLE BEACH,USA,8,33.68,-78.928
3664,ABY,,ALBANY,USA,0,0,0
3665,NBC,BEAUFORT MCAS,BEAUFORT,USA,11,32.477,-80.723
3666,NBG,NEW ORLEANS NAS JRB,NEW ORLEANS,USA,1,29.825,-90.035
3667,,,MAYPORT,USA,0,0,0
3668,,,GLENVIEW,USA,0,0,0
3669,NCA,NEW RIVER MCAS,JACKSONVILLE,USA,8,34.708,-77.439
3670,,,QUONSET POINT,USA,0,0,0
3671,BQK,,BRUNSWICK,USA,0,0,0
3672,NEL,LAKEHURST NAES,LAKEHURST,USA,32,40.033,-74.353
3673,,,JACKSONVILLE,USA,0,0,0
3674,NFL,FALLON NAS,FALLON,USA,1200,39.416,-118.701
3675,NGU,NORFOLK NS,NORFOLK,USA,5,36.938,-76.289
3676,,,ALAMEDA,USA,0,0,0
3677,NHK,PATUXENT RIVER NAS,PATUXENT RIVER,USA,12,38.286,-76.412
3678,NID,CHINA LAKE NAWS,CHINA,USA,696,35.688,-117.691
3679,NIP,JACKSONVILLE NAS,JACKSONVILLE,USA,7,30.236,-81.681
3680,,,BEEVILLE,USA,0,0,0
3681,NJK,EL CENTRO NAF,EL CENTRO,USA,-13,32.829,-115.672
3682,NKT,CHERRY POINT MCAS,CHERRY POINT,USA,9,34.902,-76.881
3683,NKX,MIRAMAR MCAS,MIRAMAR,USA,146,32.868,-117.143
3684,NLC,LEMOORE NAS,LEMOORE,USA,72,36.333,-119.952
3685,,,WASHINGTON,USA,0,0,0
3686,NMM,MERIDIAN NAS,MERIDIAN,USA,97,32.552,-88.556
3687,NOW,PORT ANGELES CGAS,PORT ANGELES,USA,4,48.141,-123.414
3688,NPA,PENSACOLA NAS,PENSACOLA,USA,9,30.353,-87.319
3689,NQA,MILLINGTON MUNI,MILLINGTON,USA,98,35.357,-89.87
3690,NQI,KINGSVILLE NAS,KINGSVILLE,USA,16,27.507,-97.81
3691,NQX,KEY WEST NAS,KEY WEST,USA,2,24.576,-81.689
3692,SFB,,SANFORD,USA,0,0,0
3693,NSE,WHITING FLD NAS NORTH,MILTON,USA,61,30.724,-87.022
3694,,,SAN NICOLAS ISLAND,USA,0,0,0
3695,NTD,POINT MUGU NAS,POINT MUGU,USA,4,34.12,-119.121
3696,NTK,TUSTIN MCAF,TUSTIN,USA,17,33.706,-117.827
3697,NTU,OCEANA NAS,OCEANA,USA,7,36.821,-76.033
3698,NUQ,MOFFETT FEDERAL AFLD,MOUNTAIN VIEW,USA,10,37.415,-122.048
3699,NUW,WHIDBEY ISLAND NAS,WHIDBEY ISLAND,USA,15,48.352,-122.656
3700,,,VIRGINIA BEACH,USA,0,0,0
3701,NXP,TWENTYNINE PALMS EAF,TWENTY NINE PALMS,USA,623,34.296,-116.162
3702,NXX,WILLOW GROVE NAS JRB,WILLOW GROVE,USA,111,40.2,-75.148
3703,NYG,QUANTICO MCAF,QUANTICO,USA,4,38.502,-77.305
3704,NZC,CECIL FLD,JACKSONVILLE,USA,25,30.219,-81.876
3705,,,SOUTH WEYMOUTH,USA,0,0,0
3706,NZY,NORTH ISLAND NAS,SAN DIEGO,USA,8,32.699,-117.215
3707,OAK,METROPOLITAN OAKLAND INTERNATIONAL,OAKLAND,USA,2,37.721,-122.221
3708,,,FORT ORD,USA,0,0,0
3709,OFF,OFFUTT AFB,OMAHA,USA,321,41.118,-95.913
3710,OGS,OGDENSBURG INTERNATIONAL,OGDENSBURG,USA,91,44.682,-75.466
3711,OKC,WILL ROGERS WORLD,OKLAHOMA CITY,USA,395,35.393,-97.601
3712,OLS,NOGALES INTERNATIONAL,NOGALES,USA,1206,31.418,-110.848
3713,OMA,EPPLEY AFLD,OMAHA,USA,300,41.302,-95.894
3714,ONT,ONTARIO INTERNATIONAL,ONTARIO,USA,288,34.056,-117.601
3715,OPF,OPA LOCKA,MIAMI,USA,3,25.907,-80.278
3716,ORD,CHICAGO OHARE INTERNATIONAL,CHICAGO,USA,204,41.979,-87.904
3717,ORF,NORFOLK INTERNATIONAL,NORFOLK,USA,8,36.894,-76.201
3718,ORL,EXECUTIVE,ORLANDO,USA,35,28.545,-81.333
3719,,OSCODA WURTSMITH,OSCODA,USA,194,44.451,-83.394
3720,PAE,SNOHOMISH CO,EVERETT,USA,185,47.906,-122.281
3721,PAM,TYNDALL AFB,PANAMA CITY,USA,6,30.07,-85.576
3722,PBF,GRIDER FLD,PINE BLUFF,USA,63,34.175,-91.934
3723,PBG,PLATTSBURGH INTERNATIONAL,PLATTSBURGH,USA,72,44.651,-73.468
3724,PBI,PALM BEACH INTERNATIONAL,WEST PALM BEACH,USA,6,26.683,-80.096
3725,PDX,PORTLAND INTERNATIONAL,PORTLAND,USA,10,45.589,-122.597
3726,PHF,NEWPORT NEWS WILLIAMSBURG INTERNATIONAL,NEWPORT NEWS,USA,14,37.132,-76.493
3727,PHL,PHILADELPHIA INTERNATIONAL,PHILADELPHIA,USA,12,39.872,-75.241
3728,PHN,ST CLAIR CO INTERNATIONAL,PORT HURON,USA,199,42.911,-82.529
3729,PHX,PHOENIX SKY HARBOR INTERNATIONAL,PHOENIX,USA,346,33.434,-112.008
3730,PIE,ST PETERSBURG CLEARWATER INTERNATIONAL,ST. PETERSBURG,USA,4,27.911,-82.687
3731,PIT,PITTSBURGH INTERNATIONAL,PITTSBURGH (PENNSYLVA),USA,367,40.491,-80.233
3732,,PEMBINA MUNI,PEMBINA,USA,243,48.942,-97.241
3733,PMD,PALMDALE PROD FLT TEST INSTL AF PLT 42,PALMDALE,USA,776,34.629,-118.084
3734,PNC,PONCA CITY MUNI,PONCA CITY,USA,307,36.731,-97.1
3735,PNE,NORTHEAST PHILADELPHIA,PHILADELPHIA,USA,37,40.082,-75.011
3736,PNM,PRINCETON MUNI,PRINCETON,USA,299,45.56,-93.608
3737,PNS,PENSACOLA RGNL,PENSACOLA,USA,37,30.473,-87.187
3738,POB,POPE AFB,FAYETTEVILLE,USA,67,35.171,-79.014
3739,POE,POLK AAF,FORT POLK,USA,101,31.045,-93.191
